"Group","Loom1RT","Loom2RT","Loom3RT","Loom4RT","Loom5RT"
"2",8.634,7.18,24.407,18.139,3.185
"4",48.343,6.321,23.491,7.954,10.118
"2",60.006,8.11,22.936,54.449,12.63
"3",12.602,18.05,24.197,60.009,4.658
"4",39.209,10.578,10.661,60.006,5.018
"1",60.005,16.581,31.198,20.746,6.114
"2",22.705,6.474,18.389,60.01,60.014
"3",14.171,14.111,60.003,60.003,57.899
"4",11.02,4.508,14.518,14.54,3.142
"2",7.535,15.997,3.726,18.368,8.13
"3",24.933,8.684,10.637,12.559,4.432
"2",32.259,35.301,11.867,27.73,5.43
"1",10.937,33.38,18.352,10.817,29.664
"4",47.565,11.833,48.329,45.072,22.703
"3",15.835,60.015,60.006,60.014,4.974
"2",29.323,29.289,30.418,60.01,30.539
"1",60.006,12.392,60.005,60.005,8.243
"1",36.111,58.262,60.013,60.003,40.943
"2",5.105,5.924,8.373,19.649,6.699
"2",11.755,10.021,5.926,11.947,3.751
"4",59.998,11.063,42.317,25.47,5.856
"4",34.979,19.062,19.037,26.964,27.283
"3",30.699,16.991,20.161,22.693,5.755
"1",60.001,8.151,33.195,57.765,34.391
"1",60.008,52.742,29.139,34.197,8.244
"1",58.076,60.01,60.003,60.009,16.631
"3",25.459,25.948,59.998,59.999,22.954
"2",40.213,24.556,6.48,60.007,8.077
"3",8.888,7.568,7.924,9.119,7.635
"4",33.053,4.001,10.382,5.89,11.603
"2",16.532,11.612,5.231,10.033,6.63
"3",10.099,4.901,31.728,34.243,5.128
"4",12.07,4.063,19.837,9.157,60.022
"4",32.33,7.738,46.168,18.527,4.72
"4",10.406,7.326,6.716,9.435,4.09
"2",15.258,11.368,13.837,9.059,5.884
"2",10.958,16.421,19.293,19.658,6.476
"2",8.574,4.971,59.999,41.089,11.62
"1",24.868,10.569,30.614,59.997,4.759
"2",40.212,54.818,51.607,13.144,6.959
"3",27.157,8.524,22.642,47.66,10.163
"4",6.752,5.45,10.975,24.212,5.631
"4",14.174,30.293,13.562,42.478,5.269
"3",27.664,60.017,60.012,60.015,7.382
"1",8.617,10.173,60.009,38.446,8.921
"1",38.723,25.951,28.707,42.604,9.337
"3",12.773,43.3,59.998,33.831,7.983
"4",59.997,4.703,9.099,57.341,6.842
"2",10.297,15.164,15.081,48.98,7.267
"1",4.772,4.945,4.495,5.442,0.901
"1",55.302,59.998,59.998,59.969,10.794
"3",6.192,11.565,9.145,9.25,9.286
"4",60.001,3.818,15.874,14.259,5.077
"3",11.253,7.591,4.898,60.005,7.802
"2",13.052,14.466,7.416,13.547,17.987
"4",27.158,12.55,42.341,20.616,15.936
"1",14.117,10.687,52.652,34.337,8.624
"3",17.961,45.144,28.651,20.714,24.58
"1",54.668,15.5,35.889,60.003,14.711
"3",4.609,10.868,26.626,18.34,8.203
"1",60.002,60.002,60.007,54.894,6.678
"1",4.794,44.377,14.619,33.697,4.517
"2",6.08,6.67,37.909,10.977,4.009
"3",10.024,4.943,15.131,21.227,13.398
"1",21.927,5.78,22.724,21.71,8.296
"2",7.763,46.603,7.022,56.337,3.413
"4",39.231,23.148,46.408,24.325,2.581
"2",27.545,8.761,23.183,21.527,37.304
"4",60.003,13.445,60.006,24.572,2.52
